country,year,value
BR,1960,2603.51901042994
BR,1961,2743.38888844205
BR,1962,2838.47229916639
BR,1963,2772.5799490463
BR,1964,2785.07443212682
BR,1965,2772.67176390786
BR,1966,2878.69979349639
BR,1967,2921.3724263796
BR,1968,3126.53548183139
BR,1969,3338.76247436022
BR,1970,3595.95086280878
BR,1971,3907.01225977893
BR,1972,4268.38384697753
BR,1973,4748.26246385619
BR,1974,5013.81724730208
BR,1975,5148.9106187339
BR,1976,5543.43637942576
BR,1977,5679.78590996985
BR,1978,5821.49131249962
BR,1979,6069.05474310333
BR,1980,6472.85214591952
BR,1981,6055.09781428103
BR,1982,5967.77899586532
BR,1983,5664.96368501244
BR,1984,5841.74986464143
BR,1985,6167.51343658643
BR,1986,6494.28087914562
BR,1987,6591.60882870649
BR,1988,6463.00545238554
BR,1989,6545.42575572846
BR,1990,6149.86788926381
BR,1991,6107.64883675747
BR,1992,5973.98285622586
BR,1993,6167.46092178931
BR,1994,6427.16901943704
BR,1995,6596.33572674819
BR,1996,6640.7270065575
BR,1997,6764.85842091319
BR,1998,6687.49523550242
BR,1999,6621.63676249539
BR,2000,6817.784240857
BR,2001,6823.03396999891
BR,2002,6944.62337495755
BR,2003,6941.4404574508
BR,2004,7258.78185165912
BR,2005,7409.56913232718
BR,2006,7622.04007133264
BR,2007,8003.25413096047
BR,2008,8330.76459841304
BR,2009,8246.09706995094
BR,2010,8792.63436120342
BR,2011,9067.99316348047
BR,2012,9167.49923929815
BR,2013,9366.73932434359
BR,2014,9338.34278278114
BR,2015,8936.19661712113
BR,2016,8577.84376650911
BR,2017,8628.25308908043
BR,2018,8722.33630317935
BR,2019,8771.44051292177
BR,2020,8435.01143254978
BR,2021,8799.22945810901
BR,2022,9032.08481566299
BR,2023,9288.02701470069
BR,2024,9566.74518687619
BR,2025,9747.99557762692
US,1960,18991.5445998554
US,1961,19108.9353618196
US,1962,19965.1435740168
US,1963,20545.7842448928
US,1964,21437.5840707345
US,1965,22526.2055153932
US,1966,23714.9390303358
US,1967,24044.5651288028
US,1968,24948.3569003897
US,1969,25471.6161794352
US,1970,25231.1271587521
US,1971,25734.4828317751
US,1972,26798.5336106847
US,1973,28042.5519181903
US,1974,27637.2997756103
US,1975,27309.8688183059
US,1976,28509.1430593189
US,1977,29528.9663682275
US,1978,30834.9992322862
US,1979,31462.1003882108
US,1980,31081.6216322106
US,1981,31559.1293376105
US,1982,30696.0834382608
US,1983,31810.9216076638
US,1984,33818.823551545
US,1985,34918.1302039172
US,1986,35794.8877746784
US,1987,36701.9453874612
US,1988,37889.3773459827
US,1989,38911.5418959959
US,1990,39200.0658091762
US,1991,38637.8398179104
US,1992,39447.9472850606
US,1993,40002.4762253198
US,1994,41106.9881833481
US,1995,41710.8207256668
US,1996,42783.8165724095
US,1997,44151.6860410035
US,1998,45596.4306879224
US,1999,47234.2455290381
US,2000,48616.2546282435
US,2001,48597.4246124122
US,2002,48967.3661217576
US,2003,49905.5233080788
US,2004,51348.3473386025
US,2005,52649.5713060461
US,2006,53596.315236412
US,2007,54152.8292673551
US,2008,53703.962897927
US,2009,51863.6183416558
US,2010,52812.6829869279
US,2011,53215.5362314388
US,2012,54000.8410778217
US,2013,54728.860179812
US,2014,55665.2411187802
US,2015,56849.4697923159
US,2016,57430.8499298804
US,2017,58435.9707535619
US,2018,59817.6556798612
US,2019,61047.9648238812
US,2020,59533.609024416
US,2021,63096.7856149746
US,2022,64322.2332819139
US,2023,65667.281580468
US,2024,66856.5131698371
US,2025,67945.6146497427
